"-- All countries --","Pays"
"-- All groups --","Groupes"
"-- All stores --","Magasins"
"-- Newsletter --","Newsletter"
" and credit this account to be able to send SMS."," et créditer votre compte afin de pouvoir envoyer des SMS."
"{firstname} {lastname}, Welcome to {shopname} !","{firstname} {lastname}, Bienvenue sur {shopname} !"
"{firstname} {lastname}, you reset your password to access to {shopname} , {shopurl}","{firstname} {lastname}, you reset your password to access to {shopname} , {shopurl}"
"{firstname} {lastname}, the item {product} is now available on {shopname} ({shopurl})","{firstname} {lastname}, le produit {product} est désormais disponible sur {shopname} ({shopurl})"
"{firstname} {lastname}, we do confirm your order {order_id}, of {total_paid} {currency}. Thank you. {shopname}","{firstname} {lastname}, nous confirmons la commande {order_id}, de {total_paid} {currency}. Merci. {shopname}"
"{firstname} {lastname}, your order {order_id} was delivered. Your shipping number is {shipping_number}. {shopname}","{firstname} {lastname}, votre commande {order_id} a été expédiée. Votre numéro d'expédition est le {shipping_number}. {shopname}"
"{firstname} {lastname}, your order {order_id} on {shopname} has a new status : {order_state}","votre commande {order_id} sur {shopname} a un nouveau statut : {order_state}"
"{firstname} {lastname} has just registered on {shopname}","{firstname} {lastname} vient de s'enregistrer sur {shopname}"
"{from} has sent a message to{contact_name} ({contact_mail}) : {message}","{from} a envoyé un message à {contact_name} ({contact_mail}) : {message}"
"1. Create your campaign, click on 'Save' if you want to be able to modify it later.","1. Créez votre campagne, cliquez sur 'Sauvegarder' si vous souhaitez la modifier ultérieurement"
"11 characters maximum","11 caractères maximum"
"2. When your campaign is ready, click ""Transmit to Octopush"" to send your request to the SMS plateform, SMS will not be send at this time ! Status become ""Transfer in progess"" and the campaign can't be modified anymore.","2. Quand votre campagne est prête, cliquez sur ""Transmettre à Octopush"" afin d'envoyer votre requête à la plateforme, le SMS ne sera pas encore envoyé, le statut devient ""Transfer in progress"" et la campagne ne peut plus être modifiée."
"3. During the transfer, number of recipients, number of SMS and price are updated in the ""Information"" part.","3. Pendant le transfert, le nombre de destinataires, le nombre de  SMS et le prix sont mis à jour dans la section ""Information""."
"4 methods to choose your recipients","4 façons de choisir ses destinataires"
"4. If there's no error (insuffisant balance for example), your campaign will be sent. Else, please fix the problem and try again.","4. Si il n'y a pas d'erreur (ex: crédit insuffisant) votre campagne sera envoyée. Sinon, merci de corriger le problème et réessayer."
"5. You can retrieve all the campaigns whose are not in the status ""In Construction"", ""Transfer in progress"" or ""Waiting for validation"" in the ""SMS history"" tab.","5. Vous pouvez retrouver l'ensemble des campagnes dont le statut n'est pas ""En construction"", ""Transfert en cours"" ou ""En attente de validation"" dans l'onglet ""Historique"""
"A list with the same name already exists.","Une liste comportant le même nom existe déjà"
"A SMS with the same request_id has already been sent.","Un SMS comportant la même request_id a déjà été envoyé"
"Accept & Send","Accepter & Envoyer"
"Action","Action"
"Actions","Actions"
"Activate","Activer"
"Activate ?","Avctiver?"
"Add","Ajouter  "
"Add campaign","Ajouter la campagne"
"Admin alert","Amerte Administrateur"
"Admin mobile number","Téléphone mobile de l'Administrateur"
"All doublons will be automatically removed","Tous les doublons seront automatiquement supprimés"
"Amount in your account","Montant de votre compte"
"An SMS campaign is already being processed. You must wait for the process to be completed in order to start another.","Une campagne SMS est déjà en cours d'envoi, merci d'attendre son envoi avant d'en programmer une nouvelle."
"An SMS campaign is already waiting for approval to send. You must validate or cancel it in order to to start another.","Une campagne SMS est en attente de validation pour être envoyée. Vous pouvez valider ou annuler la campagne afin d'en commencer une nouvelle"
"An undefined error has occurred. Please contact support.","Une erreur non définie est apparue. Merci de contacter le support"
"Are you sure you want to cancel that campaign ?","Êtes vous sûr de souhaitez annuler la campagne?"
"As soon as you start choosing the recipient(s)","Dès que vous commendez à choisir le(s) destinataire(s)"
"As soon as you start choosing the recipient(s), your campaign will be automatically saved and you will find it in ""Send SMS"" tab for further modification if necessary.","Dès que vous commendez à choisir le(s) destinataire(s), votre campagne est automatiquement sauvegardée et vous la trouverez dans l'onglet ""Envoi SMS"" si vous avez besoin de la modifier ultérieurement."
"Authorized characters","Caractères autorisés"
"Back","Retour"
"Back order ({return_id}) done by the client {customer_id} about the order {order_id}. Reason : {message}","Annulation de commande ({return_id}) faite par le client {customer_id} concernant la commande {order_id}. Raison : {message}"
"Before applying mentioned rule, these characters are automatically replaced","Avant d'appliquer la règle mentionnée, ces caractères sont automatiquement remplacés"
"Before sending a message, you have to enter your account information in the Settings Tab.","Avant d'envoyer le message,  vous devez entrer vos informations de compte dans l'onglet Paramètres"
"Birthday","Anniversaire"
"Campagne has not been set as finished.","L'envoi de la campagne n'est pas encore terminé"
"Campaign does not exist","La campagne n'existe pas"
"Campaign ID","Campagne ID"
"Campaign is being built.","La campagne est en création"
"Campaign not found.","Campagne non trouvée"
"Campaign sent.","Campagne enoyée"
"campaign Id is null","ID de campagne est nul"
"Campaigns","Campagnes"
"Campaigns history","Historique de campagne"
"Campaigns that have not yet been sent","Campagne non encore envoyée"
"Cancel this campaign","Annuler la campagne"
"Canceled","Annulé"
"Choose SMS you want to activate, and customize their text.","Choisissez le SMS que vous souhaitez activer et customiser le texte"
"Choose recipients","Choisir les destinataires"
"Click on the button below to activate it.","Clickez sur le bouton ci-dessous afin de l'activer"
"Connected","Connecté"
"Country","Pays"
"Create a new campaign / Send a new SMS","Créer une nouvelle campagne / Envoyer un nouveau SMS"
"Create an account","Créer un compte"
"Create your account by clicking on the following image and start sending SMS now to improve your sales !","Créez votre compte en cliquant sur l'image suivante et commencez à envoyer des SMS maintenant afin d'améliorer vos ventes"
"Create your Octopush account","Créez votre compte Octopush"
"customer(s) found","client(s) trouvé(s)"
"Daily report","Rapport quotidien"
"date: {date}, inscriptions: {subs}, orders: {orders}, sales: {day_sales}, for the month of: {month_sales}","date: {date}, inscriptions: {subs}, commandes: {orders}, ventes: {day_sales}, pour le mois de: {month_sales}"
"Delete","Effacer  "
"Delete this campaign","Effacer la campagne"
"Deleting recipient.","Destinataire en cours de suppression"
"Duplicate this campaign","Dupliquer cette campagne"
"Edit","Editer"
"Edit campaign","Editer la campagne"
"Email","Email"
"Enjoy !","Enjoy !"
"Enter a valid product id.","Entrez une ID produit valide"
"Enter your recipient details","Entrez les informations de votre destinataire"
"Error","Erreur"
"Error unknown .  $code""""","Erreur inconnue .  $code"""""
"ex : +33612345678","ex : +33612345678"
"Finally, you have to activate/desactivate events you want on the ""Messages"" tab, and if needed, customize the text that will be sent for each event.","Enfin, vous devez activer/désactiver les évenements que vous souhaitez dans l'ongler ""Messages"" et si besoin customiser le texte envoyé pour chaque évenement."
"First, you have to create an account on ","Premièrement, vous devez créer un compte sur"
"Firstname","Prénom"
"Firstname (optional)","Prénom (optionnel)"
"From","De"
"Here is the sending process :","Voici le schéma d'envoi"
"History","Historique  "
"ID","ID"
"If you want that the customers pay for the notification service, first create a product representing the SMS service, then fill the product ID field.","Si vous souhaitez que le client paie ce service, il faut d'abord créer un produit décrivant ce service et ensuite compléteur le champ avec l'ID du produit."
"Ignore years","Ignorez les années"
"Impossible to process requested action","Impossible d'effectuer l'action demandée"
"In construction","En construction"
"In Premium SMS, the mention _STR_STOP_ is mandatory and must belong to your text (respect the case).","Avec le SMS Premium, la mention _STR_STOP_ est obligatoire et doit être inscrite dans votre texte (respecter la casse)"
"In Standard SMS, the mention _STR_NO_PUB_  is mandatory  and must belong to your text (respect the case).","Avec le SMS Standard, la mention _STR_NO_STOP_ est obligatoire et doit être inscrite dans votre texte (respecter la casse)"
"Incorrect login details.","Votre login est incorrect"
"Information","Information"
"Informations","Informations"
"Internal error: you can't delete recipient in campaign in status","Erreur interne: vous ne pouvez pas supprimer le destinataire dans une  campagne avec le statut"
"It also allows to send Bulk SMS for marketing campaign.","Il permet aussi d'envoyer des SMS en masse pour des campagnes de marketing"
"Key Octopush","Clé Octopush"
"KO","KO"
"Lastname","Nom"
"Lastname (optional)","Nom (Optionnel)"
"line(s) ignored","ligne(s) ignorée(s)"
"Message","Message"
"Messages","Messages"
"Nb of SMS","Nb de SMS"
"Nb recipients","Nb de destinataires"
"New order from {firstname} {lastname}, id: {order_id}, payment: {payment}, total: {total_paid} {currency}.","Nouvelle commande de {firstname} {lastname}, id: {order_id}, paiement: {payment}, total: {total_paid} {currency}."
"News","Nouvelles"
"News in your language are not available.","Les nouvelles dans votre langue ne sont pas disponibles"
"No","Non"
"No country was found for this prefixe","Pas de pays trouvé pour ce préfixe"
"No news available","Pas de nouvelle disponible"
"Not defined","Non défini"
"Number of orders","Nombre de commandes"
"OK","OK"
"On the right side you can see a preview to check that everything is ok.","Vous pouvez voir sur la droite un aperçu du rendu."
"Or create your own Query","Ou créez votre propre requête"
"Or no order","Ou pas de commande"
"Or search for customers","Ou cherchez un destinataire"
"Or upload a CSV file","Ou uploader un fichier CSV"
"Order return","Retour commande"
"Notification status order free","notification du statut de la commande gratuit"
"Update tracking number order","mise à jour du numéro de tracking de la commande"
"Original character","Caractère original"
"Paid by customer","Payé par le client"
"Parameters","Paramètres  "
"Personal Data","Donnée personnelle"
"Phone","Téléphone"
"Phone (international e.g: +33612345678)","Téléphone (international e.g: +33612345678)"
"Phone in 1st column (international format), Firstname in 2nd (optional), Lastname in 3rd (optional)","Téléphone dans la 1ère colonne (format international ), Prénom danss la 2nd (optionnel), Nom dans la 3ème (optionnel)"
"Please choose a valid CSV file","Merci de choisir un fichier CSV valide"
"Please enter a message","SVP,tapez votre message"
"Please enter a title","SVP, tapez votre titre"
"Please enter a valid admin mobile number","SVP, tapez un numéri de téléphone mobile pour l'administrateur"
"Please enter a valid integer value for alert","SVP, entrez un nombre entier pour l'alerte"
"Please enter a valid integer value for product_id","SVP, entrez un nombre entier pour product_id"
"Please enter a valid send date","SVP, entrez un date d'envoi valide"
